ingredient,calories,protein,fat,carbohydrates,fiber,calcium
Keripik tempe abadi prima,540,16.7,33.9,42.0,2.2,92.0
Kwaci,515,30.6,42.1,13.8,13.6,54.0
Melinjo emping tebal goreng manis,439,10.0,16.4,65.7,0,66.0
Melinjo emping tebal. goreng asin,431,11.1,16.2,63.0,0,77.0
Melinjo emping tipis goreng,485,11.5,24.5,59.1,0,85.0
Moon tahu,128,8.0,10.0,1.3,0.2,205.0
Oncom,187,13.0,6.0,22.6,0,96.0
Oncom ampas kacang hijau,376,14.9,6.0,65.7,12.3,199.0
Oncom kacang hijau + singkong,351,11.0,5.3,65.9,9.0,164.0
Oncom kacang tanah pepes,132,12.7,3.8,13.7,3.1,133.0
Rempeyek kacang tanah,513,17.5,32.5,44.3,1.7,65.0
Rempeyek kacang tolo,451,11.2,20.2,59.7,1.8,156.0
Rempeyek kacang uci,497,17.0,27.6,50.8,2.4,166.0
Sayur lebui,64,2.1,0.6,12.5,5.7,21.0
Saridele. bubuk,344,30.0,20.0,43.0,6.2,450.0
Susu kedelai,41,3.5,2.5,5.0,0.2,50.0
Tahu. mentah,80,10.9,4.7,0.8,0.1,223.0
Tahu goreng,115,9.7,8.5,2.5,0.1,229.0
Tahu telur,328,12.6,19.9,24.6,0.4,492.0
Takwa,148,13.8,8.5,4.0,0,140.0
Tauco,184,11.4,5.5,22.2,1.9,72.0
Tauco cap beruang. cake,347,7.4,5.2,67.6,3.2,63.0
Tauco cap DAS. cake,358,7.5,4.3,70.4,3.1,94.0
Tauco cap meong,159,7.4,4.9,21.3,1.6,183.0
Tauji cap singa,277,9.1,4.7,49.6,1.2,68.0
Tempe bongkrek,119,4.4,3.5,18.3,0,27.0
Tempe gembus P3G,73,5.7,1.3,10.3,4.2,204.0
Tempe gembus yogya,76,6.8,0.7,10.6,5.3,76.0
Tempe kacang babi,139,12.5,0.8,21.9,1.8,68.0
Tempe kecipir (kacang belimbing),212,17.5,10.0,12.9,2.9,186.0
Tempe kedelai + jagung,143,12.0,5.5,11.4,1.9,155.0
Tempe kedelai murni. goreng,350,24.5,26.6,10.4,4.2,202.0
Ubi jalar merah. segar,151,1.6,0.3,35.4,0.7,29.0
Ubi jalar putih. segar,88,0.4,0.4,20.6,4.0,30.0
Ubi jalar tinta/ kemayung,108,0.5,0.4,25.6,4.2,30.0
Umbi Uwi. segar,120,2.8,0.5,82.3,2.6,9.0
Kacang belimbing (kecipir). rebus,204,16.9,8.8,17.5,4.8,230.0
Kacang bogor. goreng,479,12.7,23.2,58.9,1.2,135.0
Kacang bogor. rebus,161,7.7,2.8,27.1,2.0,56.0
Kacang gude. rebus,147,9.0,0.5,27.5,3.4,50.0
Kacang hijau. rebus,109,8.7,0.5,18.3,1.5,95.0
Kacang kedelai. goreng,521,32.2,37.7,22.9,7.6,296.0
Kacang kedelai. rebus,189,20.2,8.2,12.7,1.6,91.0
Kacang merah kering. rebus,158,10.3,0.9,28.2,2.6,160.0
Kacang merah segar. rebus,144,10.0,1.0,24.7,3.5,144.0
Kacang mete/biji jambu monyet. goreng,629,20.4,56.3,19.8,1.1,502.0
Kacang tanah rebus dg kulit,360,13.5,31.2,12.8,0,42.0
Kacang tanah. goreng,564,25.5,44.4,25.5,2.8,106.0
Kacang tanah. rebus,220,10.6,18.0,8.0,1.0,89.0
Kacang tolo / tunggak. rebus,138,10.7,1.1,22.6,0.9,165.0
Ampas kacang hijau,96,3.7,0.6,19.1,2.7,133.0
Ampas tahu. mentah,67,5.0,2.1,8.1,4.1,460.0
Ampas tahu kukus,75,4.1,2.1,10.7,5.1,203.0
Ampas tahu. kering,414,26.6,18.3,41.3,0,19.0
Pepes oncom ampas tahu,76,5.2,1.8,10.6,2.2,215.0
Bungkil biji karet,333,29.3,3.3,50.0,0,102.0
Bungkil kacang tanah,336,37.4,13.0,30.5,0,730.0
Bungkil kelapa,368,23.0,15.0,40.0,0,137.0
Dodol banjarmasin,368,2.6,8.6,70.0,0.5,51.0
Emping (kerupuk melinjo),345,12.0,1.5,71.5,0,100.0
Emping komak,355,17.8,4.6,60.7,0,87.0
Enting-enting gepuk hello kity,538,13.6,30.3,52.6,0.2,81.0
Enting-enting gepuk kacang tanah,524,13.3,29.2,52.0,0.2,76.0
Enting-enting wijen,565,18.2,38.4,36.8,1.9,251.0
Geplak,350,1.4,14.4,53.6,1.8,151.0
Geplak jahe,462,3.1,24.4,57.7,3.3,212.0
Kacang atom,533,27.8,38.1,28.8,2.5,87.0
Kacang goyang,516,14.7,31.1,44.4,0,34.0
Kacang negara,480,18.4,19.1,58.5,11.7,34.0
Kacang sukro,484,8.8,26.1,57.7,1.8,49.0
Kacang tanah sari,561,25.5,43.8,26.0,2.2,50.0
Keju kacang tanah (peanut butter),590,27.0,49.0,20.9,1.6,60.0
Tepung Gaplek,345,2.4,0.4,83.1,6.7,18.0
Tepung kentang. kering,347,0.3,0.1,85.6,0.4,20.0
Tepung Mocaf,350,1.2,0.6,85.0,6.0,60.0
Tepung Sente,326,4.0,0.4,76.7,8.5,41.0
Tepung singkong/ Tapioka,363,1.1,0.5,88.2,0.9,84.0
Tepung Tales Beneng,332,5.7,0.6,76.1,12.2,59.0
Tepung Ubi Ungu,354,2.8,0.6,84.4,12.9,89.0
Tiwul,353,2.4,1.1,83.4,6.5,55.0
Tiwul Instan,395,3.2,8.5,76.5,4.2,81.0
Ubi Cilembu,186,1.9,0.2,44.3,3.4,37.0
Uli batatas,150,1.1,4.0,27.4,0,0.0
Arrowroot. segar,102,1.0,0.2,24.1,1.7,28.0
Batatas gembili. segar,76,1.1,0.9,16.0,4.2,0.0
Batatas kelapa. ubi. segar,89,1.1,0.1,21.0,4.0,0.0
Belitung. talas. segar,145,1.2,0.4,34.2,1.5,26.0
Bengkuang. segar,59,1.4,0.2,12.8,1.0,15.0
Bentul (Komba). talas. segar,98,1.6,0.7,20.9,0.7,44.0
Gadeng/Gadung. kering,322,2.4,0.6,76.6,0,39.0
Gadung. ubi. segar,100,0.9,0.3,23.5,2.1,79.0
Ganyong. segar,77,0.6,0.2,18.4,0.8,15.0
Gembili. ubi. segar,131,1.1,0.2,31.3,1.1,14.0
Hofa/Ubi hutan. segar,127,1.2,0.5,29.5,3.4,30.0
Kaburan. ubi. segar,133,1.0,0.2,32.2,0.7,65.0
Kentang. segar,62,2.1,0.2,13.5,0.5,63.0
Kentang hitam. segar,142,0.9,0.4,33.7,5.4,34.0
Keribang. ubi. segar,137,1.3,1.1,29.8,0.6,45.0
Ketela pohon/ singkong. segar,154,1.0,0.3,36.8,0.9,77.0
Lepok/Ubi rumput,181,2.8,1.2,39.8,10.7,7.0
Sagu aren. kering,355,0.6,1.1,85.6,0.3,91.0
Sagu aren. segar,231,0.6,0.2,56.6,3.2,20.0
Sagu kasbi segar,230,0.6,0.2,56.5,3.0,20.0
Sagu lempeng,347,0.9,0.3,85.2,4.7,30.0
Sagu singkong. kering,362,0.5,0.3,86.9,0,0.0
Sente. talas. segar,353,0.7,0.2,84.7,6.6,11.0
Suweg. talas. segar,74,1.4,0.1,17.2,1.4,42.0
Talas bogor. segar,108,1.4,0.4,25.0,0.9,47.0
Talas pontianak. segar,163,2.3,0.5,36.4,0.7,45.0
Talas viqueque. segar,115,1.8,0.5,25.9,8.6,50.0
Ubi jalar. kuning. segar,119,0.5,0.4,25.1,4.2,30.0
Ubi jalar manis. segar,83,1.5,0.2,18.8,0.6,27.0
Gatot,347,1.3,0.7,83.8,5.8,78.0
Geblek,195,0.4,1.7,44.4,3.6,35.0
Getuk goreng,360,1.3,6.4,74.3,0.8,59.0
Getuk singkong,204,0.5,1.4,47.4,0.8,97.0
Gurandil,218,0.5,2.5,48.5,3.1,50.0
Kabuto,250,2.6,2.5,35.4,1.8,35.0
Kapurung,41,2.0,0.3,7.8,2.0,34.0
Kecimpring singkong goreng,464,1.2,18.6,73.0,1.3,82.0
Keremes,475,1.6,25.2,64.4,2.1,153.0
Keripik gadung,446,2.8,14.5,76.0,1.7,147.0
Keripik kentang,448,2.7,18.8,67.1,3.8,25.0
Keripik singkong,478,0.9,20.7,72.0,2.0,189.0
Keripik singkong berbumbu,481,2.2,19.7,73.6,1.6,156.0
Keripik ubi,486,0.2,23.9,67.6,14.3,68.0
Kerupuk cumi goreng,444,6.9,14.6,71.3,5.0,47.0
Kerupuk kemplang (ikan) mentah,325,1.8,0.4,78.5,4.5,59.0
Kerupuk kemplang goreng,504,5.6,28.1,57.1,0.3,50.0
Kerupuk kemplang panggang,356,9.7,1.1,76.9,1.0,62.0
Kerupuk mie kuning goreng,476,0.1,21.1,71.3,4.2,57.0
Kerupuk udang goreng,477,4.7,20.5,68.5,5.0,24.0
Kue bangket,338,1.5,1.2,80.3,0,34.0
Kue putu singkong,217,1.2,0.5,53.2,2.4,48.0
Lanting getuk,422,0.9,10.8,80.4,1.4,206.0
Mi golosor,71,0.2,0.8,15.9,0.1,117.0
Mie Bendo,353,0.3,0,88.0,2.4,28.0
Mie Sagu,190,0.2,0.4,46.5,1.4,8.0
Ongol-ongol sagu,111,0.3,2.7,21.2,0.3,79.0
Oyek,351,0.9,0.9,84.9,4.3,60.0
Papeda,61,0.2,0.1,14.9,0.5,3.0
Rasbi (Beras Ubi),394,2.2,8.8,76.6,6.8,68.0
Rasi (Beras Singkong),350,0.9,0.4,85.7,14.4,42.0
Sagu forno,291,0.5,4.0,63.4,0,10.0
Sagu Lemak (Kue Sagon),452,2.8,14.8,76.8,1.1,15.0
Sagu manis,287,0.5,3.9,62.4,0,8.0
Sagu Rendang,364,0.1,0.2,90.5,1.9,13.0
Sagu sinole,354,0.8,8.3,68.9,0,10.0
Serimping talas kebumen,478,2.5,21.2,69.2,1.7,112.0
Tapai singkong,169,1.4,0.3,40.2,2.0,21.0
Tepung Arrowroot,355,0.7,0.2,85.2,0.4,8.0
Tepung Ganyong,353,0.8,1.7,83.6,0.7,4.0
Beras ketan hitam tumbuk. mentah,360,8.0,2.3,74.5,1.0,10.0
Beras ketan putih tumbuk. mentah,361,7.4,0.8,78.4,0.4,13.0
Beras ladang. mentah,376,7.5,3.8,78.0,5.9,20.0
Beras menir. mentah,362,7.7,4.4,73.0,0.2,22.0
Beras parboiled,353,6.8,0.6,80.0,0.5,5.0
Beras tumbuk. mentah,354,7.8,0.4,79.9,3.8,3.0
Beras tumbuk merah. mentah,352,7.3,0.9,76.2,0.8,15.0
Cantel. mentah,366,11.0,3.3,73.0,1.2,28.0
Jagung muda. kuning. mentah,147,5.1,0.7,31.5,1.3,6.0
Jagung kuning pipil. kering. mentah,366,9.8,7.3,69.1,2.2,30.0
Jagung pipil var. harapan. kering,367,6.2,5.1,76.2,2.6,7.0
Jagung pipil var. metro. kering,368,5.5,4.6,78.0,2.9,7.0
Jali. mentah,324,11.0,4.0,61.0,3.1,213.0
Jawawut. mentah,364,9.7,3.5,73.4,8.2,28.0
Jampang huma. mentah,350,6.2,1.4,78.2,1.7,329.0
Batatas kelapa. ubi. bakar,110,1.4,1.1,23.4,4.5,1.0
Batatas kelapa. ubi. kukus,92,1.2,0.3,21.0,4.1,0.0
Batatas tali. ubi. rebus,182,2.4,0.4,42.2,9.2,1.0
Belitung. talas. kukus,145,1.2,0.4,34.2,1.0,21.0
Bentul. talas. kukus,71,2.3,0.3,15.4,0.5,29.0
Gadung. ubi. kukus,88,0.6,0.3,20.9,0.9,26.0
Ganyong. rebus,100,0.8,0.2,23.8,0.9,15.0
Ketela pohon/singkong kukus,153,1.2,0.3,36.4,1.3,56.0
Suweg. talas. kukus,93,1.5,0.1,21.9,0.9,50.0
Talas bogor. kukus,120,1.5,0.3,28.2,0.7,31.0
Ubi jalar. kuning. kukus,100,0.7,0.3,23.8,1.0,44.0
Ubi jalar tinta/ kemayung kukus,165,0.9,0.2,39.8,1.1,20.0
Bagea kelapa asin,450,3.2,13.9,78.1,0,38.0
Bagea kelapa manis,452,1.3,13.8,80.6,0,38.0
Bagea kenari asin,529,3.2,29.1,63.6,0,38.0
Bagea kenari manis,523,3.2,28.2,64.2,0,38.0
Bagea kw 1,416,6.5,9.4,76.3,0.4,49.0
Bagea kw 2,382,0.3,3.5,87.2,0.9,172.0
Beras Cerdas,350,2.7,1.1,82.3,6.2,28.0
Beras ganyong,364,3.4,0.7,86.3,4.7,4.0
Beras Siger,344,1.1,0.2,28.3,5.6,32.0
Biji nangka/Biji salak,262,2.3,5.4,51.1,8.0,60.0
Bubur sagu,167,0.2,4.0,33.0,0,3.0
Cassavastick,460,0.8,18.7,17.2,1.6,144.0
Ceriping getuk singkong,462,1.2,20.7,67.7,0.6,1.248
Martabak india,153,4.5,4.2,24.3,0,14.0
Martabak mesir,278,5.1,8.6,45.0,0,49.0
Masekat,369,2.1,7.0,74.1,4.0,17.0
Mie aceh rebus,113,3.0,3.2,18.1,0,22.0
Mie ayam,102,6.2,3.9,10.5,0,262.0
Mie bakso,114,5.3,3.0,16.4,0.1,286.0
Mie celon,102,3.0,2.1,17.8,0,12.0
Mie pangsit basah,105,5.9,4.9,9.4,0,208.0
Nasi gemuk,192,3.8,8.8,24.4,0.7,15.0
Nasi gurih,190,4.7,7.5,26.0,0.7,12.0
Nasi minyak,207,3.5,5.0,37.1,0.8,26.0
Nasi rames,155,10.3,4.2,19.1,0,239.0
Nopia spesial,387,5.3,7.6,74.3,0.3,903.0
Onde-onde,336,4.0,9.8,57.9,0,0.0
Padamaran,171,3.9,8.9,18.8,0,0.0
Pastel,307,4.5,13.3,42.4,0,296.0
Pulut,216,2.6,3.1,44.4,0,6.0
Pundut nasi,104,1.9,4.1,15.1,0.4,26.0
Putri selat,163,2.2,6.5,23.8,0,72.0
Putu sopa,215,3.3,4.1,41.1,0,0.0
Renggi goreng,471,4.7,21.8,64.1,6.4,4.0
Roti boong,341,5.5,16.2,43.3,0,15.0
Roti warna sawo matang,249,7.9,1.5,49.7,0,20.0
Sarimuka,166,2.3,2.8,32.9,0,36.0
Spaghetti,139,7.4,2.1,22.6,0,109.0
Srikaya ketan,265,2.7,6.4,49.1,0,0.0
Sunduk lawang,181,1.9,1.3,32.4,0,0.0
Suwir-suwir,347,0.5,0.9,84.2,0.8,42.0
Tipa-tipa,355,6.2,1.2,79.8,1.3,17.0
Wajit camilan,303,6.3,2.7,63.3,6.9,61.0
Widaran,424,1.3,10.7,80.7,0.2,49.0
Wingko babat,355,3.2,15.1,51.4,2.4,47.0
Yangko,254,3.0,1.1,58.1,0.8,184.0
Putri hijau,189,5.4,2.1,37.2,0,0.0
Beras giling. mentah,357,8.4,1.7,77.1,0.2,147.0
Beras giling var pelita. mentah,369,9.5,1.4,77.1,0.4,68.0
Beras giling var rojolele. mentah,357,8.4,1.7,77.1,0.2,147.0
Beras hitam. mentah,351,8.0,1.3,76.9,20.1,6.0
Beras jagung kuning. kering. mentah,358,5.5,0.1,82.7,10.0,20.0
Beras jagung putih. kering. mentah,307,4.8,0.1,71.8,10.0,17.0
Cake tape,323,4.9,11.5,50.1,1.4,131.0
Cangkuning,204,2.8,7.5,31.4,0,0.0
Dodol bali,298,3.7,2.1,65.9,0.4,70.0
Dodol galamai,348,0.4,3.8,76.1,0.5,41.0
Dodol kedondong,331,1.9,7.6,63.8,1.0,90.0
Dodol manado,373,4.3,16.5,51.9,0.4,41.0
Emping beras,403,10.6,2.2,85.3,0.2,11.0
Gemblong,274,1.7,5.4,55.5,2.2,69.0
Gendar goreng,407,6.4,28.2,32.0,0.1,216.0
Intip goreng,474,7.6,21.6,62.3,1.2,36.0
Jagung gerontol,156,2.7,1.3,33.3,1.0,51.0
Jagung titi,374,9.4,2.2,79.1,0.8,14.0
Japilus,500,1.2,25.1,67.3,0.4,186.0
Kakicak,296,3.4,15.1,36.7,0,0.0
Kambose,164,3.0,2.4,32.6,4.3,16.0
Kapusa,158,4.4,3.2,27.8,5.3,79.0
Keddo bodong,290,4.6,5.7,55.2,0,0.0
Kelepon. kue,215,3.7,3.7,41.8,1.0,232.0
Kereput,580,4.8,39.6,51.1,0,0.0
Ketoprak,153,7.9,7.7,13.0,2.9,153.0
Ketupat kandangan,109,2.2,5.2,13.4,0,0.0
Koya,366,4.2,4.3,77.5,0.8,153.0
Koya mirasa,370,8.0,1.0,82.2,0.4,83.0
Koyabu,241,3.4,4.3,47.2,0,0.0
Kue ali,440,3.8,18.5,64.5,0.3,27.0
Kue bangen,442,3.3,14.7,74.2,0,0.0
Kue gelang,448,5.8,16.1,70.0,0,0.0
Kue jahe,425,1.6,8.8,84.6,1.2,155.0
Kue kelapa,591,5.6,42.1,47.5,0,32.0
Kue koa,340,4.8,0.4,79.3,0,0.0
Kue ku temu,214,3.5,0.2,49.6,0,0.0
Kue lumpur,291,3.6,11.1,44.1,0,96.0
Kue pelita,141,5.3,5.5,17.6,0,0.0
Kue putu cangkir,304,5.3,7.0,54.9,0.9,18.0
Kue sus,221,7.5,10.2,24.8,0,105.0
Kue thipan,247,2.9,4.2,49.5,0,16.0
Laksa/Putu mayang,121,1.7,3.4,21.1,0,0.0
Lapis legit,389,6.6,15.7,55.5,0.5,16.0
Lupis ketan,164,1.8,2.1,34.5,0.7,119.0
Manan samin,379,3.4,18.1,50.6,0,0.0
