ingredient,calories,protein,fat,carbohydrates,fiber,calcium
keripik tempe abadi telur,529,20.8,31.7,40.2,3.0,124.0
keripik tempe abadi prima,540,16.7,33.9,42.0,2.2,92.0
kwaci,515,30.6,42.1,13.8,13.6,54.0
melinjo emping tebal goreng manis,439,10.0,16.4,65.7,0.0,66.0
melinjo emping tebal. goreng asin,431,11.1,16.2,63.0,0.0,77.0
melinjo emping tipis goreng,485,11.5,24.5,59.1,0.0,85.0
moon tahu,128,8.0,10.0,1.3,0.2,205.0
oncom,187,13.0,6.0,22.6,0.0,96.0
oncom ampas kacang hijau,376,14.9,6.0,65.7,12.3,199.0
oncom kacang hijau + singkong,351,11.0,5.3,65.9,9.0,164.0
oncom kacang tanah pepes,132,12.7,3.8,13.7,3.1,133.0
rempeyek kacang tanah,513,17.5,32.5,44.3,1.7,65.0
rempeyek kacang tolo,451,11.2,20.2,59.7,1.8,156.0
rempeyek kacang uci,497,17.0,27.6,50.8,2.4,166.0
sayur lebui,64,2.1,0.6,12.5,5.7,21.0
saridele. bubuk,344,30.0,20.0,43.0,6.2,450.0
susu kedelai,41,3.5,2.5,5.0,0.2,50.0
tahu. mentah,80,10.9,4.7,0.8,0.1,223.0
tahu goreng,115,9.7,8.5,2.5,0.1,229.0
tahu telur,328,12.6,19.9,24.6,0.4,492.0
takwa,148,13.8,8.5,4.0,0.0,140.0
tauco,184,11.4,5.5,22.2,1.9,72.0
tauco cap beruang. cake,347,7.4,5.2,67.6,3.2,63.0
tauco cap das. cake,358,7.5,4.3,70.4,3.1,94.0
tauco cap meong,159,7.4,4.9,21.3,1.6,183.0
tauji cap singa,277,9.1,4.7,49.6,1.2,68.0
tempe bongkrek,119,4.4,3.5,18.3,0.0,27.0
tempe gembus p3g,73,5.7,1.3,10.3,4.2,204.0
tempe gembus yogya,76,6.8,0.7,10.6,5.3,76.0
tempe kacang babi,139,12.5,0.8,21.9,1.8,68.0
tempe kecipir (kacang belimbing),212,17.5,10.0,12.9,2.9,186.0
tempe kedelai + jagung,143,12.0,5.5,11.4,1.9,155.0
tempe kedelai murni. goreng,350,24.5,26.6,10.4,4.2,202.0
ubi jalar merah. segar,151,1.6,0.3,35.4,0.7,29.0
ubi jalar putih. segar,88,0.4,0.4,20.6,4.0,30.0
ubi jalar tinta/ kemayung,108,0.5,0.4,25.6,4.2,30.0
umbi uwi. segar,120,2.8,0.5,82.3,2.6,9.0
kacang belimbing (kecipir). rebus,204,16.9,8.8,17.5,4.8,230.0
kacang bogor. goreng,479,12.7,23.2,58.9,1.2,135.0
kacang bogor. rebus,161,7.7,2.8,27.1,2.0,56.0
kacang gude. rebus,147,9.0,0.5,27.5,3.4,50.0
kacang hijau. rebus,109,8.7,0.5,18.3,1.5,95.0
kacang kedelai. goreng,521,32.2,37.7,22.9,7.6,296.0
kacang kedelai. rebus,189,20.2,8.2,12.7,1.6,91.0
kacang merah kering. rebus,158,10.3,0.9,28.2,2.6,160.0
kacang merah segar. rebus,144,10.0,1.0,24.7,3.5,144.0
kacang mete/biji jambu monyet. goreng,629,20.4,56.3,19.8,1.1,502.0
kacang tanah rebus dg kulit,360,13.5,31.2,12.8,0.0,42.0
kacang tanah. goreng,564,25.5,44.4,25.5,2.8,106.0
kacang tanah. rebus,220,10.6,18.0,8.0,1.0,89.0
kacang tolo / tunggak. rebus,138,10.7,1.1,22.6,0.9,165.0
ampas kacang hijau,96,3.7,0.6,19.1,2.7,133.0
ampas tahu. mentah,67,5.0,2.1,8.1,4.1,460.0
ampas tahu kukus,75,4.1,2.1,10.7,5.1,203.0
ampas tahu. kering,414,26.6,18.3,41.3,0.0,19.0
pepes oncom ampas tahu,76,5.2,1.8,10.6,2.2,215.0
bungkil biji karet,333,29.3,3.3,50.0,0.0,102.0
bungkil kacang tanah,336,37.4,13.0,30.5,0.0,730.0
bungkil kelapa,368,23.0,15.0,40.0,0.0,137.0
dodol banjarmasin,368,2.6,8.6,70.0,0.5,51.0
emping (kerupuk melinjo),345,12.0,1.5,71.5,0.0,100.0
emping komak,355,17.8,4.6,60.7,0.0,87.0
enting-enting gepuk hello kity,538,13.6,30.3,52.6,0.2,81.0
enting-enting gepuk kacang tanah,524,13.3,29.2,52.0,0.2,76.0
enting-enting wijen,565,18.2,38.4,36.8,1.9,251.0
geplak,350,1.4,14.4,53.6,1.8,151.0
geplak jahe,462,3.1,24.4,57.7,3.3,212.0
kacang atom,533,27.8,38.1,28.8,2.5,87.0
kacang goyang,516,14.7,31.1,44.4,0.0,34.0
kacang negara,480,18.4,19.1,58.5,11.7,34.0
kacang sukro,484,8.8,26.1,57.7,1.8,49.0
kacang tanah sari,561,25.5,43.8,26.0,2.2,50.0
keju kacang tanah (peanut butter),590,27.0,49.0,20.9,1.6,60.0
tepung gaplek,345,2.4,0.4,83.1,6.7,18.0
tepung kentang. kering,347,0.3,0.1,85.6,0.4,20.0
tepung mocaf,350,1.2,0.6,85.0,6.0,60.0
tepung sente,326,4.0,0.4,76.7,8.5,41.0
tepung singkong/ tapioka,363,1.1,0.5,88.2,0.9,84.0
tepung tales beneng,332,5.7,0.6,76.1,12.2,59.0
tepung ubi ungu,354,2.8,0.6,84.4,12.9,89.0
tiwul,353,2.4,1.1,83.4,6.5,55.0
tiwul instan,395,3.2,8.5,76.5,4.2,81.0
ubi cilembu,186,1.9,0.2,44.3,3.4,37.0
uli batatas,150,1.1,4.0,27.4,0.0,0.0
arrowroot. segar,102,1.0,0.2,24.1,1.7,28.0
batatas gembili. segar,76,1.1,0.9,16.0,4.2,0.0
batatas kelapa. ubi. segar,89,1.1,0.1,21.0,4.0,0.0
belitung. talas. segar,145,1.2,0.4,34.2,1.5,26.0
bengkuang. segar,59,1.4,0.2,12.8,1.0,15.0
bentul (komba). talas. segar,98,1.6,0.7,20.9,0.7,44.0
gadeng/gadung. kering,322,2.4,0.6,76.6,0.0,39.0
gadung. ubi. segar,100,0.9,0.3,23.5,2.1,79.0
ganyong. segar,77,0.6,0.2,18.4,0.8,15.0
gembili. ubi. segar,131,1.1,0.2,31.3,1.1,14.0
hofa/ubi hutan. segar,127,1.2,0.5,29.5,3.4,30.0
kaburan. ubi. segar,133,1.0,0.2,32.2,0.7,65.0
kentang. segar,62,2.1,0.2,13.5,0.5,63.0
kentang hitam. segar,142,0.9,0.4,33.7,5.4,34.0
keribang. ubi. segar,137,1.3,1.1,29.8,0.6,45.0
ketela pohon/ singkong. segar,154,1.0,0.3,36.8,0.9,77.0
lepok/ubi rumput,181,2.8,1.2,39.8,10.7,7.0
sagu aren. kering,355,0.6,1.1,85.6,0.3,91.0
sagu aren. segar,231,0.6,0.2,56.6,3.2,20.0
sagu kasbi segar,230,0.6,0.2,56.5,3.0,20.0
sagu lempeng,347,0.9,0.3,85.2,4.7,30.0
sagu singkong. kering,362,0.5,0.3,86.9,0.0,0.0
sente. talas. segar,353,0.7,0.2,84.7,6.6,11.0
suweg. talas. segar,74,1.4,0.1,17.2,1.4,42.0
talas bogor. segar,108,1.4,0.4,25.0,0.9,47.0
talas pontianak. segar,163,2.3,0.5,36.4,0.7,45.0
talas viqueque. segar,115,1.8,0.5,25.9,8.6,50.0
ubi jalar. kuning. segar,119,0.5,0.4,25.1,4.2,30.0
ubi jalar manis. segar,83,1.5,0.2,18.8,0.6,27.0
gatot,347,1.3,0.7,83.8,5.8,78.0
geblek,195,0.4,1.7,44.4,3.6,35.0
getuk goreng,360,1.3,6.4,74.3,0.8,59.0
getuk singkong,204,0.5,1.4,47.4,0.8,97.0
gurandil,218,0.5,2.5,48.5,3.1,50.0
kabuto,250,2.6,2.5,35.4,1.8,35.0
kapurung,41,2.0,0.3,7.8,2.0,34.0
kecimpring singkong goreng,464,1.2,18.6,73.0,1.3,82.0
keremes,475,1.6,25.2,64.4,2.1,153.0
keripik gadung,446,2.8,14.5,76.0,1.7,147.0
keripik kentang,448,2.7,18.8,67.1,3.8,25.0
keripik singkong,478,0.9,20.7,72.0,2.0,189.0
keripik singkong berbumbu,481,2.2,19.7,73.6,1.6,156.0
keripik ubi,486,0.2,23.9,67.6,14.3,68.0
kerupuk cumi goreng,444,6.9,14.6,71.3,5.0,47.0
kerupuk kemplang (ikan) mentah,325,1.8,0.4,78.5,4.5,59.0
kerupuk kemplang goreng,504,5.6,28.1,57.1,0.3,50.0
kerupuk kemplang panggang,356,9.7,1.1,76.9,1.0,62.0
kerupuk mie kuning goreng,476,0.1,21.1,71.3,4.2,57.0
kerupuk udang goreng,477,4.7,20.5,68.5,5.0,24.0
kue bangket,338,1.5,1.2,80.3,0.0,34.0
kue putu singkong,217,1.2,0.5,53.2,2.4,48.0
lanting getuk,422,0.9,10.8,80.4,1.4,206.0
mi golosor,71,0.2,0.8,15.9,0.1,117.0
mie bendo,353,0.3,0.0,88.0,2.4,28.0
mie sagu,190,0.2,0.4,46.5,1.4,8.0
ongol-ongol sagu,111,0.3,2.7,21.2,0.3,79.0
oyek,351,0.9,0.9,84.9,4.3,60.0
papeda,61,0.2,0.1,14.9,0.5,3.0
rasbi (beras ubi),394,2.2,8.8,76.6,6.8,68.0
rasi (beras singkong),350,0.9,0.4,85.7,14.4,42.0
sagu forno,291,0.5,4.0,63.4,0.0,10.0
sagu lemak (kue sagon),452,2.8,14.8,76.8,1.1,15.0
sagu manis,287,0.5,3.9,62.4,0.0,8.0
sagu rendang,364,0.1,0.2,90.5,1.9,13.0
sagu sinole,354,0.8,8.3,68.9,0.0,10.0
serimping talas kebumen,478,2.5,21.2,69.2,1.7,112.0
tapai singkong,169,1.4,0.3,40.2,2.0,21.0
tepung arrowroot,355,0.7,0.2,85.2,0.4,8.0
tepung ganyong,353,0.8,1.7,83.6,0.7,4.0
beras ketan hitam tumbuk. mentah,360,8.0,2.3,74.5,1.0,10.0
beras ketan putih tumbuk. mentah,361,7.4,0.8,78.4,0.4,13.0
beras ladang. mentah,376,7.5,3.8,78.0,5.9,20.0
beras menir. mentah,362,7.7,4.4,73.0,0.2,22.0
beras parboiled,353,6.8,0.6,80.0,0.5,5.0
beras tumbuk. mentah,354,7.8,0.4,79.9,3.8,3.0
beras tumbuk merah. mentah,352,7.3,0.9,76.2,0.8,15.0
cantel. mentah,366,11.0,3.3,73.0,1.2,28.0
jagung muda. kuning. mentah,147,5.1,0.7,31.5,1.3,6.0
jagung kuning pipil. kering. mentah,366,9.8,7.3,69.1,2.2,30.0
jagung pipil var. harapan. kering,367,6.2,5.1,76.2,2.6,7.0
jagung pipil var. metro. kering,368,5.5,4.6,78.0,2.9,7.0
jali. mentah,324,11.0,4.0,61.0,3.1,213.0
jawawut. mentah,364,9.7,3.5,73.4,8.2,28.0
jampang huma. mentah,350,6.2,1.4,78.2,1.7,329.0
batatas kelapa. ubi. bakar,110,1.4,1.1,23.4,4.5,1.0
batatas kelapa. ubi. kukus,92,1.2,0.3,21.0,4.1,0.0
batatas tali. ubi. rebus,182,2.4,0.4,42.2,9.2,1.0
belitung. talas. kukus,145,1.2,0.4,34.2,1.0,21.0
bentul. talas. kukus,71,2.3,0.3,15.4,0.5,29.0
gadung. ubi. kukus,88,0.6,0.3,20.9,0.9,26.0
ganyong. rebus,100,0.8,0.2,23.8,0.9,15.0
ketela pohon/singkong kukus,153,1.2,0.3,36.4,1.3,56.0
suweg. talas. kukus,93,1.5,0.1,21.9,0.9,50.0
talas bogor. kukus,120,1.5,0.3,28.2,0.7,31.0
ubi jalar. kuning. kukus,100,0.7,0.3,23.8,1.0,44.0
ubi jalar tinta/ kemayung kukus,165,0.9,0.2,39.8,1.1,20.0
bagea kelapa asin,450,3.2,13.9,78.1,0.0,38.0
bagea kelapa manis,452,1.3,13.8,80.6,0.0,38.0
bagea kenari asin,529,3.2,29.1,63.6,0.0,38.0
bagea kenari manis,523,3.2,28.2,64.2,0.0,38.0
bagea kw 1,416,6.5,9.4,76.3,0.4,49.0
bagea kw 2,382,0.3,3.5,87.2,0.9,172.0
beras cerdas,350,2.7,1.1,82.3,6.2,28.0
beras ganyong,364,3.4,0.7,86.3,4.7,4.0
beras siger,344,1.1,0.2,28.3,5.6,32.0
biji nangka/biji salak,262,2.3,5.4,51.1,8.0,60.0
bubur sagu,167,0.2,4.0,33.0,0.0,3.0
cassavastick,460,0.8,18.7,17.2,1.6,144.0
ceriping getuk singkong,462,1.2,20.7,67.7,0.6,1.248
martabak india,153,4.5,4.2,24.3,0.0,14.0
martabak mesir,278,5.1,8.6,45.0,0.0,49.0
masekat,369,2.1,7.0,74.1,4.0,17.0
mie aceh rebus,113,3.0,3.2,18.1,0.0,22.0
mie ayam,102,6.2,3.9,10.5,0.0,262.0
mie bakso,114,5.3,3.0,16.4,0.1,286.0
mie celon,102,3.0,2.1,17.8,0.0,12.0
mie pangsit basah,105,5.9,4.9,9.4,0.0,208.0
nasi gemuk,192,3.8,8.8,24.4,0.7,15.0
nasi gurih,190,4.7,7.5,26.0,0.7,12.0
nasi minyak,207,3.5,5.0,37.1,0.8,26.0
nasi rames,155,10.3,4.2,19.1,0.0,239.0
nopia spesial,387,5.3,7.6,74.3,0.3,903.0
onde-onde,336,4.0,9.8,57.9,0.0,0.0
padamaran,171,3.9,8.9,18.8,0.0,0.0
pastel,307,4.5,13.3,42.4,0.0,296.0
pulut,216,2.6,3.1,44.4,0.0,6.0
pundut nasi,104,1.9,4.1,15.1,0.4,26.0
putri selat,163,2.2,6.5,23.8,0.0,72.0
putu sopa,215,3.3,4.1,41.1,0.0,0.0
renggi goreng,471,4.7,21.8,64.1,6.4,4.0
roti boong,341,5.5,16.2,43.3,0.0,15.0
roti warna sawo matang,249,7.9,1.5,49.7,0.0,20.0
sarimuka,166,2.3,2.8,32.9,0.0,36.0
spaghetti,139,7.4,2.1,22.6,0.0,109.0
srikaya ketan,265,2.7,6.4,49.1,0.0,0.0
sunduk lawang,181,1.9,1.3,32.4,0.0,0.0
suwir-suwir,347,0.5,0.9,84.2,0.8,42.0
tipa-tipa,355,6.2,1.2,79.8,1.3,17.0
wajit camilan,303,6.3,2.7,63.3,6.9,61.0
widaran,424,1.3,10.7,80.7,0.2,49.0
wingko babat,355,3.2,15.1,51.4,2.4,47.0
yangko,254,3.0,1.1,58.1,0.8,184.0
putri hijau,189,5.4,2.1,37.2,0.0,0.0
beras giling. mentah,357,8.4,1.7,77.1,0.2,147.0
beras giling var pelita. mentah,369,9.5,1.4,77.1,0.4,68.0
beras giling var rojolele. mentah,357,8.4,1.7,77.1,0.2,147.0
beras hitam. mentah,351,8.0,1.3,76.9,20.1,6.0
beras jagung kuning. kering. mentah,358,5.5,0.1,82.7,10.0,20.0
beras jagung putih. kering. mentah,307,4.8,0.1,71.8,10.0,17.0
cake tape,323,4.9,11.5,50.1,1.4,131.0
cangkuning,204,2.8,7.5,31.4,0.0,0.0
dodol bali,298,3.7,2.1,65.9,0.4,70.0
dodol galamai,348,0.4,3.8,76.1,0.5,41.0
dodol kedondong,331,1.9,7.6,63.8,1.0,90.0
dodol manado,373,4.3,16.5,51.9,0.4,41.0
emping beras,403,10.6,2.2,85.3,0.2,11.0
gemblong,274,1.7,5.4,55.5,2.2,69.0
gendar goreng,407,6.4,28.2,32.0,0.1,216.0
intip goreng,474,7.6,21.6,62.3,1.2,36.0
jagung gerontol,156,2.7,1.3,33.3,1.0,51.0
jagung titi,374,9.4,2.2,79.1,0.8,14.0
japilus,500,1.2,25.1,67.3,0.4,186.0
kakicak,296,3.4,15.1,36.7,0.0,0.0
kambose,164,3.0,2.4,32.6,4.3,16.0
kapusa,158,4.4,3.2,27.8,5.3,79.0
keddo bodong,290,4.6,5.7,55.2,0.0,0.0
kelepon. kue,215,3.7,3.7,41.8,1.0,232.0
kereput,580,4.8,39.6,51.1,0.0,0.0
ketoprak,153,7.9,7.7,13.0,2.9,153.0
ketupat kandangan,109,2.2,5.2,13.4,0.0,0.0
koya,366,4.2,4.3,77.5,0.8,153.0
koya mirasa,370,8.0,1.0,82.2,0.4,83.0
koyabu,241,3.4,4.3,47.2,0.0,0.0
kue ali,440,3.8,18.5,64.5,0.3,27.0
kue bangen,442,3.3,14.7,74.2,0.0,0.0
kue gelang,448,5.8,16.1,70.0,0.0,0.0
kue jahe,425,1.6,8.8,84.6,1.2,155.0
kue kelapa,591,5.6,42.1,47.5,0.0,32.0
kue koa,340,4.8,0.4,79.3,0.0,0.0
kue ku temu,214,3.5,0.2,49.6,0.0,0.0
kue lumpur,291,3.6,11.1,44.1,0.0,96.0
kue pelita,141,5.3,5.5,17.6,0.0,0.0
kue putu cangkir,304,5.3,7.0,54.9,0.9,18.0
kue sus,221,7.5,10.2,24.8,0.0,105.0
kue thipan,247,2.9,4.2,49.5,0.0,16.0
laksa/putu mayang,121,1.7,3.4,21.1,0.0,0.0
lapis legit,389,6.6,15.7,55.5,0.5,16.0
lupis ketan,164,1.8,2.1,34.5,0.7,119.0
manan samin,379,3.4,18.1,50.6,0.0,0.0
garam,0,0.0,0.0,0.0,0.0,0.0
penyedap rasa,20,1.0,0.2,3.5,0.0,5.0
air,0,0.0,0.0,0.0,0.0,0.0
air bersih,0,0.0,0.0,0.0,0.0,0.0
bumbu,10,0.5,0.2,1.5,0.1,3.0
bumbu saos,45,1.2,0.3,10.2,0.5,15.0
saos cabe,40,1.0,0.2,9.0,0.8,10.0
saos tiram,60,2.5,0.5,12.0,0.0,25.0
saos asam manis,50,0.5,0.1,12.0,0.3,5.0
cabe rawit merah,12,0.5,0.1,2.5,0.5,5.0
cabe rawit hijau,10,0.4,0.1,2.3,0.5,4.0
cabe merah giling,35,1.2,0.3,7.5,1.0,15.0
cabe merah rajang,35,1.2,0.3,7.5,1.0,15.0
bj cabe merah,10,0.3,0.1,2.0,0.3,5.0
bj cabe rawit,2,0.1,0.05,0.5,0.1,1.0
baby jagung,30,1.5,0.2,6.0,1.2,10.0
baby corn,30,1.5,0.2,6.0,1.2,10.0
pete,40,2.5,0.3,7.5,1.5,15.0
papan pete,100,6.0,0.8,18.0,3.5,35.0
pete kupas,40,2.5,0.3,7.5,1.5,15.0
petai,40,2.5,0.3,7.5,1.5,15.0
royko,25,2.0,1.0,2.5,0.0,10.0
maggi,25,2.0,1.0,2.5,0.0,10.0
masako,25,2.0,1.0,2.5,0.0,10.0
kaldu jamur,15,1.2,0.5,2.0,0.2,5.0
kaldu bubuk,20,1.5,0.8,2.2,0.0,8.0
sawi hijau,20,1.8,0.2,3.5,1.0,50.0
micin,0,0.0,0.0,0.0,0.0,0.0
temu kunci,25,0.6,0.1,5.0,0.8,10.0
daun kaffir,1,0.1,0.0,0.2,0.1,3.0
daun kari,1,0.1,0.0,0.2,0.1,3.0
daun pandan,1,0.1,0.0,0.2,0.1,3.0
daun ketumbar,5,0.5,0.1,0.8,0.2,15.0
daun bawang,8,0.5,0.1,1.5,0.3,10.0
daun seledri,5,0.4,0.1,1.0,0.3,10.0
bubuk kayu manis,20,0.3,0.1,5.5,1.4,40.0
bubuk pala,20,0.4,0.3,4.2,0.8,5.0
bubuk cengkeh,30,0.5,1.0,5.5,1.0,50.0
bubuk ketumbar,20,1.0,0.8,3.0,1.2,40.0
bubuk jintan,20,0.9,0.8,2.5,0.8,45.0
asam jawa,250,3.1,0.6,65.0,2.8,70.0
lemon,30,1.0,0.3,9.0,1.0,20.0
daun bawang prey,8,0.5,0.1,1.5,0.3,10.0
bawang prey,8,0.5,0.1,1.5,0.3,10.0
jamur putih,35,2.9,0.3,5.1,1.5,4.0
jamur merang,30,3.5,0.2,4.0,2.4,14.0
jamur kancing,22,3.1,0.3,3.3,1.0,3.0
jamur tiram,30,1.9,0.1,5.5,3.6,9.0
sereh,15,0.2,0.1,5.3,1.0,4.0
serai,15,0.2,0.1,5.3,1.0,4.0
lengkuas,30,1.0,0.2,5.0,0.8,15.0
laos,30,1.0,0.2,5.0,0.8,15.0
adas,20,1.2,0.3,3.0,0.7,10.0
adas manis,20,1.2,0.3,3.0,0.7,10.0
bunga lawang,25,1.0,0.5,5.0,0.9,15.0
pekak,25,1.0,0.5,5.0,0.9,15.0
tepung cakra,350,10.0,1.5,73.0,0.5,15.0
tepung terigu cakra,350,10.0,1.5,73.0,0.5,15.0
bunga kecombrang,34,0.9,1.0,6.7,2.6,60.0
kulit pastry,384,5.0,26.2,36.0,1.0,12.0
puff pastry,384,5.0,26.2,36.0,1.0,12.0
tuna,105,23.0,0.5,0.0,0.0,10.0
tuna kalengan,120,25.0,1.0,0.0,0.0,15.0
mozzarella,280,22.0,22.0,2.0,0.0,500.0
keju mozarella,280,22.0,22.0,2.0,0.0,500.0
oregano,15,0.5,0.4,3.3,2.0,160.0
basilicum,10,0.4,0.2,2.0,0.5,150.0
basil,10,0.4,0.2,2.0,0.5,150.0
topping pizza,100,5.0,8.0,5.0,0.5,20.0
saus bolognese,100,3.0,5.0,15.0,1.0,15.0
ragi,20,3.0,0.5,3.0,1.0,12.0
ragi instan,20,3.0,0.5,3.0,1.0,12.0
bubuk balado,45,1.5,0.7,10.0,1.2,25.0
bumbu balado,45,1.5,0.7,10.0,1.2,25.0
bumbu gulai,50,2.0,2.5,7.5,1.5,30.0
bumbu gule,50,2.0,2.5,7.5,1.5,30.0
jahe geprek,10,0.2,0.1,2.0,0.2,5.0
kayu manis batang,15,0.1,0.1,4.0,2.0,30.0
gula merah,368,0.0,0.0,95.0,0.0,75.0
panir,394,13.4,10.9,53.1,2.9,142.0
tepung panir,394,13.4,10.9,53.1,2.9,142.0
tepung roti,394,13.4,10.9,53.1,2.9,142.0
acar,15,0.5,0.2,3.5,0.8,20.0
emping,400,12.0,24.0,50.0,4.2,50.0
